Utbildningsområde,Utbildningsnamn,Län,Kommun,Antal kommuner,Flera kommuner,YH-poäng,Utbildningsanordnare,Ansökningsomgång,Diarienummer
Data/IT,Systemutvecklare - objektorienterad systemutveckling,Västra Götaland,Göteborg,1,False,400,Handelsakademin i Göteborg AB,2020,MYH 2020/5216
Data/IT,Systemutvecklare .NET,Halland,Varberg,1,False,400,Campus Varberg/Varbergs kommun,2020,MYH 2020/5338
Data/IT,Systemutvecklare .Net med AI-kompetens,Flera kommuner,Flera kommuner,2,True,405,Edugrade AB,2020,MYH 2020/5843
Data/IT,"Systemutvecklare inriktning automation för Smart, Säker och Hållbar livsmedelsproduktion",Kalmar,Kalmar,1,False,400,Lernia Utbildning AB,2020,MYH 2020/5151
Data/IT,Systemutvecklare Java ,Västernorrland,Sundsvall,1,False,400,YrkesAkademin YH AB,2020,MYH 2020/3743
Data/IT,Systemutvecklare.NET,Flera kommuner,Flera kommuner,2,True,400,Campus Nyköping,2020,MYH 2020/5575
Data/IT,Utvecklare inom AI & Maskininlärning,Västra Götaland,Göteborg,1,False,400,IT-Högskolan Sverige AB,2020,MYH 2020/5703
Data/IT,UX Designer,Blekinge,Karlskrona,1,False,450,Hyper Island Program AB - Karlskrona,2020,MYH 2020/5414
Data/IT,UX-designer med kravkompetens,Stockholm,Stockholm,1,False,400,Chas Academy AB,2020,MYH 2020/5206
Data/IT,Webbutvecklare fullstack open source,Stockholm,Solna,1,False,400,Nackademin AB,2020,MYH 2020/5351
Data/IT,Webbutvecklare inriktning e-handel,Skåne,Malmö,1,False,400,Grit Academy AB,2020,MYH 2020/4924
"Ekonomi, administration och försäljning",Account Manager,Stockholm,Stockholm,1,False,400,Företagsekonomiska Institutet 1888 AB,2020,MYH 2020/5723
"Ekonomi, administration och försäljning",Account Manager,Östergötland,Linköping,1,False,400,TUC Sweden AB - Yrkeshögskola,2020,MYH 2020/4943
"Ekonomi, administration och försäljning",Account Manager B2B,Skåne,Malmö,1,False,400,IHM Business School AB Malmö,2020,MYH 2020/4593
"Ekonomi, administration och försäljning",Affärsinriktad Redovisningsekonom ,Värmland,Karlstad,1,False,425,Plushögskolan AB - Affärshögskolan,2020,MYH 2020/4444
"Ekonomi, administration och försäljning",Affärsinriktad Redovisningsekonom ,Västra Götaland,Uddevalla,1,False,425,Plushögskolan AB - Affärshögskolan,2020,MYH 2020/4441
"Ekonomi, administration och försäljning",B2B-säljare ,Örebro,Örebro,1,False,400,Plushögskolan AB - Affärshögskolan,2020,MYH 2020/4466
"Ekonomi, administration och försäljning",Business Developer,Blekinge,Karlskrona,1,False,325,Hyper Island Program AB - Karlskrona,2020,MYH 2020/5120
"Ekonomi, administration och försäljning",Butiksledare Distans,Stockholm,Stockholm,1,False,215,Stockholm School of Business,2020,MYH 2020/5718
"Ekonomi, administration och försäljning",Digital Analytics Specialist,Skåne,Malmö,1,False,415,IHM Business School AB Malmö,2020,MYH 2020/4888
"Ekonomi, administration och försäljning",Digital Analytics Specialist,Stockholm,Stockholm,1,False,415,IHM Business School AB Stockholm,2020,MYH 2020/4889
"Ekonomi, administration och försäljning",Digital Analytics Specialist,Västra Götaland,Göteborg,1,False,415,IHM Business School AB Göteborg,2020,MYH 2020/4881
"Ekonomi, administration och försäljning",Digital Marketing Specialist,Stockholm,Stockholm,1,False,400,IHM Business School AB Stockholm,2020,MYH 2020/4837
"Ekonomi, administration och försäljning",Digital marknadsförare,Västra Götaland,Göteborg,1,False,400,Sälj & Marknadshögskolan i Sverige AB,2020,MYH 2020/4350
"Ekonomi, administration och försäljning",Digital Media Creative,Stockholm,Stockholm,1,False,450,Hyper Island Program AB - Stockholm,2020,MYH 2020/5170
"Ekonomi, administration och försäljning",Digital Redovisningsekonom/Konsult med löneadministration - Luleå,Norrbotten,Luleå,1,False,425,NBI i Sverige AB,2020,MYH 2020/5010
