Diarienummer,Beslut,Kommun,Län
MYH 2024/1093,False,Helsingborg,Skåne
MYH 2024/1093,False,Uppsala,Uppsala
MYH 2024/1094,True,Piteå,Norrbotten
MYH 2024/1094,True,Göteborg,Västra Götaland
MYH 2024/1095,True,Askersund,Örebro
MYH 2024/1096,True,Örebro,Örebro
MYH 2024/1097,True,Askersund,Örebro
MYH 2024/1098,False,Hallsberg,Örebro
MYH 2024/1099,True,Stockholm,Stockholm
MYH 2024/1099,True,Malmö,Skåne
MYH 2024/1099,True,Umeå,Västerbotten
MYH 2024/1100,True,Malmö,Skåne
MYH 2024/1101,True,Piteå,Norrbotten
MYH 2024/1101,True,Göteborg,Västra Götaland
MYH 2024/1102,True,Köping,Västmanland
MYH 2024/1102,True,Boden,Norrbotten
MYH 2024/1103,True,Simrishamn,Skåne
MYH 2024/1103,True,Umeå,Västerbotten
MYH 2024/1103,True,Tanum,Västra Götaland
MYH 2024/1104,True,Göteborg,Västra Götaland
MYH 2024/1105,True,Norrtälje,Stockholm
MYH 2024/1105,True,Mariestad,Västra Götaland
MYH 2024/1105,True,Arvika,Värmland
MYH 2024/1106,True,Stockholm,Stockholm
MYH 2024/1106,True,Åre,Jämtland
MYH 2024/1106,True,Växjö,Kronoberg
MYH 2024/1106,True,Malung-Sälen,Dalarna
MYH 2024/1106,True,Gotland,Gotland
MYH 2024/1107,False,Kista,Stockholm
MYH 2024/1108,False,Kista,Stockholm
MYH 2024/1109,False,Botkyrka,Stockholm
MYH 2024/1110,False,Trollhättan,Västra Götaland
MYH 2024/1111,False,Falun,Dalarna
MYH 2024/1112,False,Falun,Dalarna
MYH 2024/1113,False,Falun,Dalarna
MYH 2024/1114,True,Trollhättan,Västra Götaland
MYH 2024/1115,False,Heby,Uppsala
MYH 2024/1115,False,Skara,Västra Götaland
MYH 2024/1116,False,Göteborg,Västra Götaland
MYH 2024/1116,False,Lund,Skåne
MYH 2024/1116,False,Umeå,Västerbotten
MYH 2024/1116,False,Örebro,Örebro
MYH 2024/1116,False,Stockholm,Stockholm
MYH 2024/1117,False,Stockholm,Stockholm
MYH 2024/1118,False,Hallsberg,Örebro
MYH 2024/1118,False,Vänersborg,Västra Götaland
MYH 2024/1118,False,Hässleholm,Skåne
MYH 2024/1118,False,Ale,Västra Götaland
MYH 2024/1118,False,Enköping,Uppsala
MYH 2024/1119,False,Helsingborg,Skåne
MYH 2024/1119,False,Uppsala,Uppsala
MYH 2024/1119,False,Falköping,Västra Götaland
MYH 2024/1120,False,Stockholm,Stockholm
MYH 2024/1121,False,Götene,Västra Götaland
MYH 2024/1121,False,Sala,Västmanland
MYH 2024/1121,False,Heby,Uppsala
MYH 2024/1122,False,Stockholm,Stockholm
MYH 2024/1123,False,Stockholm,Stockholm
MYH 2024/1124,False,Stockholm,Stockholm
MYH 2024/1125,True,Stockholm,Stockholm
MYH 2024/1126,False,Stockholm,Stockholm
MYH 2024/1127,True,Stockholm,Stockholm
MYH 2024/1128,True,Stockholm,Stockholm
MYH 2024/1129,False,Eslöv,Skåne
MYH 2024/1130,False,Eslöv,Skåne
MYH 2024/1131,True,Göteborg,Västra Götaland
MYH 2024/1132,True,Göteborg,Västra Götaland
MYH 2024/1133,True,Trollhättan,Västra Götaland
MYH 2024/1134,True,Umeå,Västerbotten
MYH 2024/1134,True,Uppsala,Uppsala
MYH 2024/1135,False,Borås,Västra Götaland
MYH 2024/1136,True,Borås,Västra Götaland
MYH 2024/1137,True,Borås,Västra Götaland
MYH 2024/1138,True,Göteborg,Västra Götaland
MYH 2024/1138,True,Stockholm,Stockholm
MYH 2024/1139,True,Stockholm,Stockholm
MYH 2024/1139,True,Göteborg,Västra Götaland
MYH 2024/1140,True,Stockholm,Stockholm
MYH 2024/1140,True,Göteborg,Västra Götaland
MYH 2024/1142,True,Malmö,Skåne
MYH 2024/1142,True,Göteborg,Västra Götaland
MYH 2024/1143,True,Stockholm,Stockholm
MYH 2024/1143,True,Malmö,Skåne
MYH 2024/1144,True,Liljeholmen,Stockholm
MYH 2024/1145,True,Liljeholmen,Stockholm
MYH 2024/1146,True,Malmö,Skåne
MYH 2024/1147,False,Stockholm,Stockholm
MYH 2024/1148,False,Liljeholmen,Stockholm
MYH 2024/1149,False,Liljeholmen,Stockholm
MYH 2024/1150,False,Liljeholmen,Stockholm
MYH 2024/1151,False,Liljeholmen,Stockholm
MYH 2024/1152,True,Göteborg,Västra Götaland
MYH 2024/1152,True,Stockholm,Stockholm
MYH 2024/1153,True,Liljeholmen,Stockholm
MYH 2024/1154,True,Malmö,Skåne
MYH 2024/1154,True,Stockholm,Stockholm
MYH 2024/1155,False,Liljeholmen,Stockholm
