Diarienummer,Kommun,Län,Beslut
MYH 2020/4317,Stockholm,Stockholm,False
MYH 2020/4317,Linköping,Östergötland,False
MYH 2020/4318,Linköping,Östergötland,True
MYH 2020/4319,Stockholm,Stockholm,True
MYH 2020/4320,Helsingborg,Skåne,False
MYH 2020/4323,Göteborg,Västra Götaland,False
MYH 2020/4332,Stockholm,Stockholm,False
MYH 2020/4336,Sundsvall,Västernorrland,False
MYH 2020/4340,Solna,Stockholm,False
MYH 2020/4341,Göteborg,Västra Götaland,True
MYH 2020/4343,Jönköping,Jönköping,False
MYH 2020/4345,Solna,Stockholm,False
MYH 2020/4346,Helsingborg,Skåne,False
MYH 2020/4347,Solna,Stockholm,False
MYH 2020/4348,Göteborg,Västra Götaland,False
MYH 2020/4349,Göteborg,Västra Götaland,True
MYH 2020/4350,Göteborg,Västra Götaland,True
MYH 2020/4351,Solna,Stockholm,False
MYH 2020/4352,Solna,Stockholm,False
MYH 2020/4353,Solna,Stockholm,False
MYH 2020/4354,Södertälje,Stockholm,False
MYH 2020/4356,Solna,Stockholm,False
MYH 2020/4361,Katrineholm,Södermanland,False
MYH 2020/4365,Linköping,Östergötland,False
MYH 2020/4368,Katrineholm,Södermanland,False
MYH 2020/4375,Linköping,Östergötland,True
MYH 2020/4378,Gotland,Gotland,True
MYH 2020/4378,Stockholm,Stockholm,True
MYH 2020/4379,Malmö,Skåne,True
MYH 2020/4388,Jokkmokk,Norrbotten,True
MYH 2020/4396,Stockholm,Stockholm,False
MYH 2020/4400,Örebro,Örebro,False
MYH 2020/4401,Stockholm,Stockholm,True
MYH 2020/4403,Göteborg,Västra Götaland,True
MYH 2020/4404,Linköping,Östergötland,False
MYH 2020/4405,Halmstad,Halland,True
MYH 2020/4406,Linköping,Östergötland,True
MYH 2020/4407,Göteborg,Västra Götaland,True
MYH 2020/4412,Uddevalla,Västra Götaland,False
MYH 2020/4418,Umeå,Västerbotten,False
MYH 2020/4419,Växjö,Kronoberg,False
MYH 2020/4419,Norrtälje,Stockholm,False
MYH 2020/4419,Östersund,Jämtland,False
MYH 2020/4419,Vingåker,Södermanland,False
MYH 2020/4419,Katrineholm,Södermanland,False
MYH 2020/4421,Falköping,Västra Götaland,True
MYH 2020/4425,Linköping,Östergötland,False
MYH 2020/4429,Göteborg,Västra Götaland,False
MYH 2020/4430,Göteborg,Västra Götaland,False
MYH 2020/4431,Solna,Stockholm,False
MYH 2020/4432,Nacka,Stockholm,True
MYH 2020/4432,Malmö,Skåne,True
MYH 2020/4434,Gotland,Gotland,False
MYH 2020/4434,Halmstad,Halland,False
MYH 2020/4440,Lund,Skåne,True
MYH 2020/4441,Uddevalla,Västra Götaland,True
MYH 2020/4442,Gävle,Gävleborg,True
MYH 2020/4442,Eskilstuna,Södermanland,True
MYH 2020/4442,Ronneby,Blekinge,True
MYH 2020/4442,Norrtälje,Stockholm,True
