Diarienummer,Ansökningsomgång,Beslut,Utbildningsanordnare,Huvudmannatyp,Utbildningsområde,Utbildningsnamn,YH-poäng,Studieform,Studietakt %,Sökta utbildningsomgångar,Beviljade utbildningsomgångar,Sökta platser totalt,Beviljade platser totalt,Sökta platser per utbildningsomgång,Län,Kommun,Antal kommuner,Flera kommuner
MYH 2021/2938,2021,False,Hermods AB Umeå,Privat,"Ekonomi, administration och försäljning",Ekonomistrateg,500,Distans,100,4,0,120,0.0,30,Västerbotten,Umeå,1,False
MYH 2021/2939,2021,True,Hermods AB Örebro,Privat,Samhällsbyggnad och byggteknik,VVS-ingenjör,400,Bunden,100,4,3,120,90.0,30,Örebro,Örebro,1,False
MYH 2021/2946,2021,False,Hermods AB Umeå,Privat,Hälso- och sjukvård samt socialt arbete,Apotekstekniker,300,Distans,100,4,0,120,0.0,30,Västerbotten,Umeå,1,False
MYH 2021/2947,2021,False,Hermods AB Östersund,Privat,Data/IT,UI/UX Designer,400,Distans,100,3,0,45,0.0,15,Jämtland,Östersund,2,True
MYH 2021/2947,2021,False,Hermods AB Östersund,Privat,Data/IT,UI/UX Designer,400,Distans,100,3,0,45,0.0,15,Västerbotten,Umeå,2,True
MYH 2021/2955,2021,False,Hermods AB Göteborg,Privat,Data/IT,Pythonutvecklare med AI-kompetens,400,Bunden,100,3,0,90,0.0,30,Västra Götaland,Göteborg,1,False
MYH 2021/2956,2021,False,Hermods AB Stockholm,Privat,Transporttjänster,Internationell affärslogistiker - Green management,400,Bunden,100,4,0,120,0.0,30,Stockholm,Solna,1,False
MYH 2021/2963,2021,False,Hermods AB Borlänge,Privat,Samhällsbyggnad och byggteknik,VA- ingenjör,400,Distans,100,4,0,120,0.0,30,Dalarna,Borlänge,1,False
MYH 2021/2965,2021,False,Hermods AB Kristianstad,Privat,Samhällsbyggnad och byggteknik,Byggnadsingenjör ROT,420,Bunden,100,4,0,120,0.0,30,Skåne,Kristianstad,1,False
MYH 2021/2966,2021,False,Hermods AB Lund,Privat,Teknik och tillverkning,Kyl- och värmepumpstekniker,400,Bunden,100,4,0,120,0.0,30,Skåne,Lund,1,False
MYH 2021/2969,2021,True,Hermods AB Lund,Privat,Teknik och tillverkning,CNC- och robottekniker,425,Bunden,100,4,3,120,75.0,30,Skåne,Lund,1,False
MYH 2021/2970,2021,False,Hermods AB Malmö,Privat,Teknik och tillverkning,Ventilationsingenjör,400,Bunden,100,4,0,120,0.0,30,Skåne,Malmö,1,False
MYH 2021/2971,2021,True,Hermods AB Umeå,Privat,Samhällsbyggnad och byggteknik,Mätningstekniker specialistkompetens geodesi,425,Distans,100,4,3,120,90.0,30,Västerbotten,Umeå,1,False
MYH 2021/2972,2021,False,Hermods AB Göteborg,Privat,Samhällsbyggnad och byggteknik,Byggnadsingenjör - ROT,420,Bunden,100,4,0,120,0.0,30,Västra Götaland,Göteborg,1,False
MYH 2021/2976,2021,False,Hermods AB Göteborg,Privat,Teknik och tillverkning,Kyl- och värmepumpstekniker,400,Bunden,100,4,0,120,0.0,30,Västra Götaland,Göteborg,1,False
MYH 2021/2977,2021,False,Hermods AB Göteborg,Privat,Samhällsbyggnad och byggteknik,Fastighetsingenjör energieffektivisering och miljö,500,Distans,100,4,0,44,0.0,11,Uppsala,Uppsala,3,True
MYH 2021/2977,2021,False,Hermods AB Göteborg,Privat,Samhällsbyggnad och byggteknik,Fastighetsingenjör energieffektivisering och miljö,500,Distans,100,4,0,44,0.0,11,Västernorrland,Sundsvall,3,True
MYH 2021/2977,2021,False,Hermods AB Göteborg,Privat,Samhällsbyggnad och byggteknik,Fastighetsingenjör energieffektivisering och miljö,500,Distans,100,4,0,44,0.0,11,Västra Götaland,Göteborg,3,True
MYH 2021/2982,2021,False,Hermods AB Kalmar,Privat,Teknik och tillverkning,Automations- och Robotingenjör med Industri 4.0,425,Bunden,100,2,0,60,0.0,30,Kalmar,Kalmar,1,False
MYH 2021/2987,2021,False,Hermods AB Kristianstad,Privat,Teknik och tillverkning,Underhållsingenjör Smart Maintenance,400,Bunden,100,4,0,120,0.0,30,Skåne,Kristianstad,1,False
MYH 2021/2991,2021,False,Hermods AB Göteborg,Privat,Data/IT,UI/UX Designer,400,Bunden,100,3,0,90,0.0,30,Västra Götaland,Göteborg,1,False
MYH 2021/2999,2021,True,YrkesAkademin YH AB,Privat,Pedagogik och undervisning,Trafiklärare,300,Distans,100,5,4,150,120.0,30,Dalarna,Borlänge,1,False
MYH 2021/3000,2021,False,Hermods AB Östersund,Privat,Samhällsbyggnad och byggteknik,Byggnadsingenjör BIM/CAD,400,Distans,100,4,0,120,0.0,30,Jämtland,Östersund,1,False
MYH 2021/3002,2021,True,YrkesAkademin YH AB,Privat,Data/IT,Advanced Software Developer Electrical & Autonomous Vehicles,400,Bunden,100,5,3,150,90.0,30,Västra Götaland,Trollhättan,1,False
MYH 2021/3004,2021,False,YrkesAkademin YH AB,Privat,Data/IT,Software Tester Embedded Systems,300,Bunden,100,5,0,150,0.0,30,Västra Götaland,Trollhättan,1,False
MYH 2021/3007,2021,True,"Sundsvalls kommun, Vuxenutbildningen",Kommun,Säkerhetstjänster,Informationssäkerhetsspecialist,200,Distans,75,5,3,150,90.0,30,Västernorrland,Sundsvall,1,False
MYH 2021/3025,2021,True,YrkesAkademin YH AB,Privat,Teknik och tillverkning,Robot och automationsprogrammerare,300,Distans,100,3,2,90,60.0,30,Södermanland,Eskilstuna,1,False
MYH 2021/3031,2021,True,YrkesAkademin YH AB,Privat,Teknik och tillverkning,Robot och automationsprogrammerare,300,Distans,100,3,2,75,50.0,25,Västernorrland,Örnsköldsvik,1,False
MYH 2021/3054,2021,False,Hermods AB Östersund,Privat,"Ekonomi, administration och försäljning",Företagssäljare/B2B,400,Distans,100,4,0,120,0.0,30,Jämtland,Östersund,1,False
MYH 2021/3057,2021,False,Hermods AB Stockholm,Privat,Samhällsbyggnad och byggteknik,Mätningstekniker specialistkompetens geodesi,425,Bunden,100,4,0,120,0.0,30,Stockholm,Solna,1,False
MYH 2021/3062,2021,False,Hermods AB Örebro,Privat,"Ekonomi, administration och försäljning",Medicinsk sekreterare,400,Distans,100,4,0,140,0.0,35,Örebro,Örebro,1,False
MYH 2021/3067,2021,False,Hermods AB Örebro,Privat,Samhällsbyggnad och byggteknik,Drift- och fastighetstekniker,400,Bunden,100,4,0,120,0.0,30,Örebro,Örebro,1,False
MYH 2021/3073,2021,False,Hermods AB Göteborg,Privat,Samhällsbyggnad och byggteknik,Mätningstekniker specialistkompetens geodesi,425,Bunden,100,4,0,120,0.0,30,Västra Götaland,Göteborg,1,False
MYH 2021/3076,2021,False,Hermods AB Malmö,Privat,Samhällsbyggnad och byggteknik,Mätningstekniker specialistkompetens geodesi,425,Bunden,100,4,0,120,0.0,30,Skåne,Malmö,1,False
MYH 2021/3083,2021,True,Hermods AB Stockholm,Privat,"Lantbruk, djurvård, trädgård, skog och fiske",Green Urban Developer,210,Distans,100,2,2,20,20.0,10,Skåne,Malmö,2,True
MYH 2021/3083,2021,True,Hermods AB Stockholm,Privat,"Lantbruk, djurvård, trädgård, skog och fiske",Green Urban Developer,210,Distans,100,2,2,40,40.0,20,Stockholm,Solna,2,True
MYH 2021/3084,2021,False,Hermods AB Stockholm,Privat,"Ekonomi, administration och försäljning",Företagssäljare/B2B,400,Bunden,100,4,0,120,0.0,30,Stockholm,Solna,1,False
MYH 2021/3085,2021,True,Sälj & Marknadshögskolan i Sverige AB,Privat,"Ekonomi, administration och försäljning",Online Merchandiser,400,Bunden,100,3,3,105,105.0,35,Västra Götaland,Göteborg,1,False
MYH 2021/3103,2021,False,Hermods AB Helsingborg,Privat,"Ekonomi, administration och försäljning",Business Developer E-commerce,400,Distans,100,4,0,60,0.0,15,Skåne,Helsingborg,2,True
MYH 2021/3103,2021,False,Hermods AB Helsingborg,Privat,"Ekonomi, administration och försäljning",Business Developer E-commerce,400,Distans,100,4,0,60,0.0,15,Västra Götaland,Borås,2,True
MYH 2021/3104,2021,False,Hermods AB Helsingborg,Privat,Samhällsbyggnad och byggteknik,Fastighetsingenjör energieffektivisering och miljö,500,Distans,100,4,0,120,0.0,30,Skåne,Helsingborg,1,False
MYH 2021/3110,2021,False,Hermods AB Göteborg,Privat,Hälso- och sjukvård samt socialt arbete,Specialistundersköterska psykiatrisk verksamhet,220,Distans,50,4,0,140,0.0,35,Västra Götaland,Göteborg,1,False
MYH 2021/3111,2021,True,TUC Sweden AB - Yrkeshögskola,Privat,Hälso- och sjukvård samt socialt arbete,Tandsköterska,325,Bunden,100,5,4,100,80.0,20,Jönköping,Jönköping,2,True
MYH 2021/3111,2021,True,TUC Sweden AB - Yrkeshögskola,Privat,Hälso- och sjukvård samt socialt arbete,Tandsköterska,325,Bunden,100,5,4,75,60.0,15,Jönköping,Tranås,2,True
MYH 2021/3112,2021,True,TUC Sweden AB - Yrkeshögskola,Privat,Hälso- och sjukvård samt socialt arbete,Tandsköterska,325,Distans,100,5,4,175,140.0,35,Jönköping,Tranås,1,False
MYH 2021/3114,2021,False,YrkesAkademin YH AB,Privat,Teknik och tillverkning,Elnätsspecialist inom reläskydd,215,Distans,100,5,0,125,0.0,25,Skåne,Malmö,1,False
MYH 2021/3115,2021,False,Hermods AB Kalmar,Privat,"Ekonomi, administration och försäljning",Ekonomistrateg,500,Distans,100,2,0,60,0.0,30,Kalmar,Kalmar,1,False
MYH 2021/3118,2021,True,TUC Sweden AB - Yrkeshögskola,Privat,Hälso- och sjukvård samt socialt arbete,Stödpedagog inom funktionshinderområdet,200,Distans,50,4,4,20,20.0,5,Kalmar,Borgholm,3,True
MYH 2021/3118,2021,True,TUC Sweden AB - Yrkeshögskola,Privat,Hälso- och sjukvård samt socialt arbete,Stödpedagog inom funktionshinderområdet,200,Distans,50,4,4,28,28.0,7,Stockholm,Norrtälje,3,True
MYH 2021/3118,2021,True,TUC Sweden AB - Yrkeshögskola,Privat,Hälso- och sjukvård samt socialt arbete,Stödpedagog inom funktionshinderområdet,200,Distans,50,4,4,92,92.0,23,Stockholm,Stockholm,3,True
MYH 2021/3119,2021,False,TUC Sweden AB - Yrkeshögskola,Privat,Hälso- och sjukvård samt socialt arbete,Behandlingspedagog,420,Distans,100,5,0,50,0.0,10,Stockholm,Norrtälje,2,True
MYH 2021/3119,2021,False,TUC Sweden AB - Yrkeshögskola,Privat,Hälso- och sjukvård samt socialt arbete,Behandlingspedagog,420,Distans,100,5,0,125,0.0,25,Stockholm,Stockholm,2,True
MYH 2021/3120,2021,False,Plushögskolan AB - Affärshögskolan,Privat,"Ekonomi, administration och försäljning",Customer Relationship Manager,400,Distans,100,5,0,125,0.0,25,Örebro,Örebro,2,True
MYH 2021/3120,2021,False,Plushögskolan AB - Affärshögskolan,Privat,"Ekonomi, administration och försäljning",Customer Relationship Manager,400,Distans,100,5,0,50,0.0,10,Östergötland,Norrköping,2,True
MYH 2021/3121,2021,True,TUC Sweden AB - Yrkeshögskola,Privat,Hälso- och sjukvård samt socialt arbete,Behandlingspedagog,420,Bunden,100,5,3,175,105.0,35,Östergötland,Linköping,1,False
MYH 2021/3131,2021,True,YrkesAkademin YH AB,Privat,Data/IT,Systemutvecklare .NET,400,Distans,100,3,3,75,75.0,25,Västerbotten,Umeå,1,False
MYH 2021/3135,2021,False,Plushögskolan AB - Affärshögskolan,Privat,"Ekonomi, administration och försäljning",Digital marknadskommunikatör,400,Bunden,100,5,0,175,0.0,35,Östergötland,Linköping,1,False
MYH 2021/3136,2021,True,TUC Sweden AB - Yrkeshögskola,Privat,"Ekonomi, administration och försäljning",Tullspecialist,300,Bunden,100,3,3,105,105.0,35,Stockholm,Stockholm,1,False
MYH 2021/3137,2021,True,Hermods AB Göteborg,Privat,Samhällsbyggnad och byggteknik,Anläggningsingenjör - infrastruktur,400,Distans,100,4,3,140,105.0,35,Västra Götaland,Göteborg,1,False
MYH 2021/3138,2021,False,Hermods AB Stockholm,Privat,Samhällsbyggnad och byggteknik,Anläggningsingenjör - infrastruktur,400,Distans,100,5,0,175,0.0,35,Stockholm,Solna,1,False
MYH 2021/3139,2021,True,Hermods AB Stockholm,Privat,Samhällsbyggnad och byggteknik,Byggnadsingenjör - produktion,400,Bunden,100,4,3,120,90.0,30,Stockholm,Solna,1,False
MYH 2021/3141,2021,False,Hermods AB Göteborg,Privat,Transporttjänster,Internationell affärslogistiker - Green management,400,Bunden,100,4,0,120,0.0,30,Västra Götaland,Göteborg,1,False
MYH 2021/3143,2021,False,Hermods AB Stockholm,Privat,Pedagogik och undervisning,Specialistbarnskötare –rörelse och specialpedagogik,220,Bunden,100,4,0,120,0.0,30,Stockholm,Solna,1,False
MYH 2021/3150,2021,False,Hermods AB Östersund,Privat,Teknik och tillverkning,Vindkraftsingenjör,400,Distans,100,4,0,120,0.0,30,Jämtland,Östersund,1,False
MYH 2021/3156,2021,False,Sälj & Marknadshögskolan i Sverige AB - Stockholm,Privat,"Ekonomi, administration och försäljning",Account Manager IT Sales,400,Bunden,100,3,0,105,0.0,35,Stockholm,Solna,1,False
MYH 2021/3157,2021,False,Sälj & Marknadshögskolan i Sverige AB - Stockholm,Privat,"Kultur, media och design",Digital designer,400,Bunden,100,3,0,105,0.0,35,Stockholm,Solna,1,False
MYH 2021/3159,2021,False,TUC Sweden AB - Yrkeshögskola,Privat,Juridik,Paralegal,400,Bunden,100,3,0,60,0.0,20,Jönköping,Jönköping,2,True
MYH 2021/3159,2021,False,TUC Sweden AB - Yrkeshögskola,Privat,Juridik,Paralegal,400,Bunden,100,3,0,45,0.0,15,Östergötland,Linköping,2,True
MYH 2021/3160,2021,True,Stiftelsen Stenebyskolan,Privat,Teknik och tillverkning,Möbeltapetserare,400,Bunden,100,5,5,30,30.0,6,Västra Götaland,Bengtsfors,1,False
MYH 2021/3162,2021,True,Plushögskolan AB - Teknikhögskolan,Privat,Teknik och tillverkning,Processoperatör livsmedel,200,Distans,100,5,3,175,105.0,35,Västra Götaland,Göteborg,1,False
MYH 2021/3165,2021,False,Plushögskolan AB - Affärshögskolan,Privat,"Ekonomi, administration och försäljning",Payroll Controller,425,Bunden,100,5,0,175,0.0,35,Västra Götaland,Uddevalla,1,False
MYH 2021/3167,2021,False,Hermods AB Borlänge,Privat,Hälso- och sjukvård samt socialt arbete,Socialpedagog,400,Distans,100,4,0,120,0.0,30,Dalarna,Borlänge,1,False
MYH 2021/3171,2021,False,Arvika Kommun,Kommun,Samhällsbyggnad och byggteknik,Kvalificerad Solelinstallatör,120,Bunden,100,5,0,140,0.0,28,Värmland,Arvika,1,False
MYH 2021/3179,2021,True,Sälj & Marknadshögskolan i Sverige AB - Stockholm,Privat,"Ekonomi, administration och försäljning",Digital marknadsförare,400,Bunden,100,3,2,105,70.0,35,Stockholm,Solna,1,False
MYH 2021/3180,2021,False,TUC Sweden AB - Yrkeshögskola,Privat,"Ekonomi, administration och försäljning",Strategisk inköpare/Upphandlare,425,Bunden,100,3,0,15,0.0,5,Jönköping,Gislaved,3,True
MYH 2021/3180,2021,False,TUC Sweden AB - Yrkeshögskola,Privat,"Ekonomi, administration och försäljning",Strategisk inköpare/Upphandlare,425,Bunden,100,3,0,30,0.0,10,Stockholm,Norrtälje,3,True
MYH 2021/3180,2021,False,TUC Sweden AB - Yrkeshögskola,Privat,"Ekonomi, administration och försäljning",Strategisk inköpare/Upphandlare,425,Bunden,100,3,0,60,0.0,20,Östergötland,Linköping,3,True
MYH 2021/3181,2021,False,YrkesAkademin YH AB,Privat,Samhällsbyggnad och byggteknik,Träbyggnadsprojektör hållbart byggande,400,Distans,100,3,0,60,0.0,20,Västerbotten,Skellefteå,1,False
MYH 2021/3183,2021,False,Hermods AB Umeå,Privat,Teknik och tillverkning,Automations- och Robotingenjör med Industri 4.0,425,Bunden,100,4,0,120,0.0,30,Västerbotten,Umeå,1,False
MYH 2021/3184,2021,True,Hermods AB Stockholm,Privat,"Ekonomi, administration och försäljning",Eco Sale,210,Distans,100,4,3,120,90.0,30,Stockholm,Solna,1,False
MYH 2021/3186,2021,False,Plushögskolan AB - Vårdyrkeshögskolan,Privat,Hälso- och sjukvård samt socialt arbete,Specialistundersköterska äldreomsorg,200,Distans,50,5,0,175,0.0,35,Stockholm,Stockholm,1,False
MYH 2021/3190,2021,False,Nercia Utbildning,Privat,"Ekonomi, administration och försäljning",Digital marknadsföring och affärsutveckling,400,Distans,100,3,0,105,0.0,35,Örebro,Örebro,1,False
MYH 2021/3194,2021,False,Sälj & Marknadshögskolan i Sverige AB,Privat,"Ekonomi, administration och försäljning",Anbudsspecialist,200,Distans,50,3,0,105,0.0,35,Västra Götaland,Göteborg,1,False
MYH 2021/3195,2021,True,Sälj & Marknadshögskolan i Sverige AB - Stockholm,Privat,"Ekonomi, administration och försäljning",Key Account Manager,200,Distans,50,3,3,105,105.0,35,Stockholm,Solna,1,False
MYH 2021/3198,2021,False,FCG SIPU International AB,Privat,Juridik,Informationscontroller/Registrator,400,Distans,100,5,0,175,0.0,35,Stockholm,Stockholm,1,False
MYH 2021/3199,2021,False,FCG SIPU International AB,Privat,Juridik,Informationscontroller/Registrator - påbyggnadsprogram för erfarna administratörer inom offentlig förvaltning,200,Distans,50,5,0,175,0.0,35,Stockholm,Stockholm,1,False
MYH 2021/3202,2021,False,Plushögskolan AB - Teknikhögskolan,Privat,Data/IT,Mjukvarutestare,300,Bunden,100,5,0,150,0.0,30,Stockholm,Stockholm,1,False
MYH 2021/3207,2021,False,SYAB Gruppen AB,Privat,Pedagogik och undervisning,Trafiklärare,300,Bunden,100,5,0,125,0.0,25,Kalmar,Kalmar,1,False
MYH 2021/3208,2021,False,SYAB Gruppen AB,Privat,Pedagogik och undervisning,Trafiklärare,300,Distans,100,5,0,135,0.0,27,Kalmar,Kalmar,1,False
MYH 2021/3211,2021,False,Bergströms Kunskapsföretag AB,Privat,Hälso- och sjukvård samt socialt arbete,Auktoriserad A-terapeut,600,Distans,100,5,0,50,0.0,10,Gävleborg,Söderhamn,3,True
MYH 2021/3211,2021,False,Bergströms Kunskapsföretag AB,Privat,Hälso- och sjukvård samt socialt arbete,Auktoriserad A-terapeut,600,Distans,100,5,0,50,0.0,10,Skåne,Malmö,3,True
MYH 2021/3211,2021,False,Bergströms Kunskapsföretag AB,Privat,Hälso- och sjukvård samt socialt arbete,Auktoriserad A-terapeut,600,Distans,100,5,0,50,0.0,10,Stockholm,Stockholm,3,True
MYH 2021/3212,2021,False,Plushögskolan AB - Vårdyrkeshögskolan,Privat,Hälso- och sjukvård samt socialt arbete,Socialpedagog inom KBT,400,Distans,100,5,0,175,0.0,35,Västerbotten,Umeå,1,False
MYH 2021/3213,2021,True,Örebro kommun Yrkesutbildningscenter,Kommun,Hälso- och sjukvård samt socialt arbete,Specialistundersköterska Demensvård,235,Distans,50,5,3,175,105.0,35,Örebro,Örebro,1,False
MYH 2021/3214,2021,True,Örebro kommun Yrkesutbildningscenter,Kommun,Hälso- och sjukvård samt socialt arbete,Specialistundersköterska Psykisk ohälsa/Skötare,235,Distans,50,4,3,140,105.0,35,Örebro,Örebro,1,False
MYH 2021/3215,2021,False,Sälj & Marknadshögskolan i Sverige AB,Privat,"Ekonomi, administration och försäljning",Digital Conversion Manager,200,Distans,50,3,0,105,0.0,35,Västra Götaland,Göteborg,1,False
MYH 2021/3216,2021,True,"Uddevalla kommun, Vuxenutbildningen",Kommun,"Ekonomi, administration och försäljning",E-Commerce Product Manager,400,Bunden,100,3,2,15,10.0,5,Halland,Falkenberg,4,True
MYH 2021/3216,2021,True,"Uddevalla kommun, Vuxenutbildningen",Kommun,"Ekonomi, administration och försäljning",E-Commerce Product Manager,400,Bunden,100,3,2,24,16.0,8,Västra Götaland,Borås,4,True
MYH 2021/3216,2021,True,"Uddevalla kommun, Vuxenutbildningen",Kommun,"Ekonomi, administration och försäljning",E-Commerce Product Manager,400,Bunden,100,3,2,15,10.0,5,Västra Götaland,Lidköping,4,True
MYH 2021/3216,2021,True,"Uddevalla kommun, Vuxenutbildningen",Kommun,"Ekonomi, administration och försäljning",E-Commerce Product Manager,400,Bunden,100,3,2,42,28.0,14,Västra Götaland,Uddevalla,4,True
MYH 2021/3217,2021,True,"Uddevalla kommun, Vuxenutbildningen",Kommun,"Ekonomi, administration och försäljning",Digital Store Manager,300,Bunden,100,3,3,15,15.0,5,Halland,Falkenberg,5,True
MYH 2021/3217,2021,True,"Uddevalla kommun, Vuxenutbildningen",Kommun,"Ekonomi, administration och försäljning",Digital Store Manager,300,Bunden,100,3,3,15,15.0,5,Västra Götaland,Alingsås,5,True
MYH 2021/3217,2021,True,"Uddevalla kommun, Vuxenutbildningen",Kommun,"Ekonomi, administration och försäljning",Digital Store Manager,300,Bunden,100,3,3,15,15.0,5,Västra Götaland,Borås,5,True
MYH 2021/3217,2021,True,"Uddevalla kommun, Vuxenutbildningen",Kommun,"Ekonomi, administration och försäljning",Digital Store Manager,300,Bunden,100,3,3,15,15.0,5,Västra Götaland,Lidköping,5,True
MYH 2021/3217,2021,True,"Uddevalla kommun, Vuxenutbildningen",Kommun,"Ekonomi, administration och försäljning",Digital Store Manager,300,Bunden,100,3,3,15,15.0,5,Västra Götaland,Uddevalla,5,True
MYH 2021/3219,2021,True,Creando AB,Privat,Teknik och tillverkning,Processoperatör - Drifttekniker,400,Distans,100,4,3,80,60.0,20,Norrbotten,Piteå,1,False
MYH 2021/3221,2021,False,YrkesAkademin YH AB,Privat,Samhällsbyggnad och byggteknik,Drift- och fastighetstekniker,300,Distans,100,5,0,150,0.0,30,Västmanland,Västerås,1,False
MYH 2021/3222,2021,False,Hermods AB Malmö,Privat,Hälso- och sjukvård samt socialt arbete,Specialistundersköterska  - barn och unga,210,Distans,50,4,0,120,0.0,30,Skåne,Malmö,1,False
MYH 2021/3223,2021,False,"Uddevalla kommun, Vuxenutbildningen",Kommun,Hälso- och sjukvård samt socialt arbete,Boendestödspedagog,200,Bunden,50,2,0,20,0.0,10,Västra Götaland,Lidköping,2,True
MYH 2021/3223,2021,False,"Uddevalla kommun, Vuxenutbildningen",Kommun,Hälso- och sjukvård samt socialt arbete,Boendestödspedagog,200,Bunden,50,2,0,32,0.0,16,Västra Götaland,Uddevalla,2,True
MYH 2021/3224,2021,True,Plushögskolan AB - Vårdyrkeshögskolan,Privat,Hälso- och sjukvård samt socialt arbete,Förändringsledare inom välfärden,300,Distans,75,5,2,50,20.0,10,Skåne,Lund,3,True
MYH 2021/3224,2021,True,Plushögskolan AB - Vårdyrkeshögskolan,Privat,Hälso- och sjukvård samt socialt arbete,Förändringsledare inom välfärden,300,Distans,75,5,2,50,20.0,10,Västra Götaland,Göteborg,3,True
MYH 2021/3224,2021,True,Plushögskolan AB - Vårdyrkeshögskolan,Privat,Hälso- och sjukvård samt socialt arbete,Förändringsledare inom välfärden,300,Distans,75,5,2,75,30.0,15,Östergötland,Linköping,3,True
MYH 2021/3225,2021,True,"Sigtuna Kommun, Centrum för vuxenutveckling",Kommun,Transporttjänster,Internationell Speditör,400,Bunden,100,3,3,60,60.0,20,Stockholm,Sigtuna,1,False
MYH 2021/3227,2021,False,Hermods AB Malmö,Privat,"Lantbruk, djurvård, trädgård, skog och fiske",Driftledare hållbart lantbruk,220,Distans,100,3,0,39,0.0,13,Skåne,Malmö,2,True
MYH 2021/3227,2021,False,Hermods AB Malmö,Privat,"Lantbruk, djurvård, trädgård, skog och fiske",Driftledare hållbart lantbruk,220,Distans,100,3,0,39,0.0,13,Örebro,Örebro,2,True
MYH 2021/3228,2021,True,Newton Kompetensutveckling AB,Privat,"Kultur, media och design",Filmarbetare / Freelance filmworker,330,Bunden,100,3,3,78,78.0,26,Stockholm,Stockholm,1,False
MYH 2021/3229,2021,False,Newton Kompetensutveckling AB,Privat,"Kultur, media och design",Video Content Producer,340,Bunden,100,3,0,96,0.0,32,Stockholm,Stockholm,1,False
MYH 2021/3230,2021,False,Plushögskolan AB - Vårdyrkeshögskolan,Privat,"Ekonomi, administration och försäljning",Hållbarhetsspecialist,310,Distans,100,4,0,20,0.0,5,Värmland,Karlstad,3,True
MYH 2021/3230,2021,False,Plushögskolan AB - Vårdyrkeshögskolan,Privat,"Ekonomi, administration och försäljning",Hållbarhetsspecialist,310,Distans,100,4,0,40,0.0,10,Västra Götaland,Göteborg,3,True
MYH 2021/3230,2021,False,Plushögskolan AB - Vårdyrkeshögskolan,Privat,"Ekonomi, administration och försäljning",Hållbarhetsspecialist,310,Distans,100,4,0,80,0.0,20,Östergötland,Linköping,3,True
MYH 2021/3231,2021,False,YrkesAkademin YH AB,Privat,Teknik och tillverkning,E-Drivsystemsspecialist,225,Distans,100,5,0,150,0.0,30,Västra Götaland,Trollhättan,1,False
MYH 2021/3233,2021,False,Plushögskolan AB - Affärshögskolan,Privat,"Ekonomi, administration och försäljning",Affärsinriktad konceptutvecklare,400,Bunden,100,3,0,66,0.0,22,Stockholm,Stockholm,2,True
MYH 2021/3233,2021,False,Plushögskolan AB - Affärshögskolan,Privat,"Ekonomi, administration och försäljning",Affärsinriktad konceptutvecklare,400,Bunden,100,3,0,30,0.0,10,Östergötland,Linköping,2,True
MYH 2021/3234,2021,True,Plushögskolan AB - Vårdyrkeshögskolan,Privat,Hälso- och sjukvård samt socialt arbete,Handledare inom LSS och socialpsykiatri,250,Distans,75,5,3,35,21.0,7,Västernorrland,Örnsköldsvik,3,True
MYH 2021/3234,2021,True,Plushögskolan AB - Vårdyrkeshögskolan,Privat,Hälso- och sjukvård samt socialt arbete,Handledare inom LSS och socialpsykiatri,250,Distans,75,5,3,40,24.0,8,Västra Götaland,Göteborg,3,True
MYH 2021/3234,2021,True,Plushögskolan AB - Vårdyrkeshögskolan,Privat,Hälso- och sjukvård samt socialt arbete,Handledare inom LSS och socialpsykiatri,250,Distans,75,5,3,100,60.0,20,Östergötland,Linköping,3,True
MYH 2021/3235,2021,False,Plushögskolan AB - Teknikhögskolan,Privat,Teknik och tillverkning,CAD-ingenjör inriktning rörkonstruktion,400,Distans,100,5,0,150,0.0,30,Östergötland,Linköping,1,False
MYH 2021/3236,2021,True,Plushögskolan AB - Teknikhögskolan,Privat,Teknik och tillverkning,Processoperatör sågverks- och pappersindustri,320,Distans,100,5,3,150,90.0,30,Östergötland,Linköping,1,False
MYH 2021/3237,2021,False,Sälj & Marknadshögskolan i Sverige AB - Stockholm,Privat,"Ekonomi, administration och försäljning",Anbudsspecialist,200,Distans,50,3,0,105,0.0,35,Stockholm,Solna,1,False
MYH 2021/3240,2021,True,Stiftelsen Nordens Biskops-Arnö,Privat,Journalistik och information,Yrkesfotograf - fotografi och rörlig bild,600,Bunden,100,5,3,90,54.0,18,Uppsala,Håbo,1,False
MYH 2021/3250,2021,False,Fastighetsakademin Sverige AB,Privat,Samhällsbyggnad och byggteknik,Fastighetsförvaltare,500,Bunden,100,4,0,140,0.0,35,Västra Götaland,Göteborg,1,False
MYH 2021/3251,2021,False,Fastighetsakademin Sverige AB,Privat,Samhällsbyggnad och byggteknik,Fastighetsingenjör,400,Bunden,100,4,0,140,0.0,35,Västra Götaland,Göteborg,1,False
MYH 2021/3252,2021,True,Fastighetsakademin Sverige AB,Privat,Samhällsbyggnad och byggteknik,Teknisk förvaltare,500,Bunden,100,4,3,140,105.0,35,Västra Götaland,Göteborg,1,False
MYH 2021/3253,2021,True,Plushögskolan AB - Teknikhögskolan,Privat,"Ekonomi, administration och försäljning",Technicial Sales Manager,405,Distans,100,3,3,90,90.0,30,Stockholm,Stockholm,1,False
MYH 2021/3254,2021,True,Örebro kommun Yrkesutbildningscenter,Kommun,Hälso- och sjukvård samt socialt arbete,Specialistundersköterska Palliativ vård,235,Distans,50,4,3,140,105.0,35,Örebro,Örebro,1,False
