Diarienummer,Ansökningsomgång,Beslut,Utbildningsanordnare,Huvudmannatyp,Utbildningsområde,Utbildningsnamn,YH-poäng,Studieform,Studietakt %,Sökta utbildningsomgångar,Beviljade utbildningsomgångar,Sökta platser totalt,Beviljade platser totalt,Sökta platser per utbildningsomgång,Län,Kommun,Antal kommuner,Flera kommuner
MYH 2020/3780,2020,False,Hermods AB Kristianstad,Privat,Teknik och tillverkning,Underhållsingenjör – Smart Maintenance,400,Distans,100,4,0,120,0.0,30,Skåne,Kristianstad,1,False
MYH 2020/3781,2020,False,Hermods AB Malmö,Privat,Samhällsbyggnad och byggteknik,Mätningstekniker,425,Bunden,100,4,0,120,0.0,30,Skåne,Malmö,1,False
MYH 2020/3782,2020,False,Hermods AB Helsingborg,Privat,Samhällsbyggnad och byggteknik,Fastighetsförvaltare,500,Bunden,100,4,0,120,0.0,30,Skåne,Helsingborg,1,False
MYH 2020/3783,2020,False,Hermods AB Kristianstad,Privat,"Ekonomi, administration och försäljning",Lönekonsult fokus digitala processer,300,Distans,100,4,0,40,0.0,10,Dalarna,Borlänge,3,True
MYH 2020/3783,2020,False,Hermods AB Kristianstad,Privat,"Ekonomi, administration och försäljning",Lönekonsult fokus digitala processer,300,Distans,100,4,0,40,0.0,10,Jämtland,Östersund,3,True
MYH 2020/3783,2020,False,Hermods AB Kristianstad,Privat,"Ekonomi, administration och försäljning",Lönekonsult fokus digitala processer,300,Distans,100,4,0,60,0.0,15,Skåne,Kristianstad,3,True
MYH 2020/3784,2020,False,Hermods AB Lund,Privat,Samhällsbyggnad och byggteknik,Byggprojektör BIM/CAD,400,Bunden,100,4,0,120,0.0,30,Skåne,Lund,1,False
MYH 2020/3785,2020,False,Hermods AB Kristianstad,Privat,Samhällsbyggnad och byggteknik,Byggnadsingenjör - Produktion,400,Distans,100,4,0,120,0.0,30,Skåne,Kristianstad,1,False
MYH 2020/3786,2020,False,Hermods AB Malmö,Privat,"Ekonomi, administration och försäljning",Redovisningsekonom,415,Bunden,100,4,0,140,0.0,35,Skåne,Malmö,1,False
MYH 2020/3788,2020,True,Hermods AB Malmö,Privat,Samhällsbyggnad och byggteknik,Anläggningsingenjör - Infrastruktur,400,Distans,100,4,3,128,96.0,32,Skåne,Malmö,1,False
MYH 2020/3789,2020,True,Hermods AB Helsingborg,Privat,Transporttjänster,Internationell affärslogistiker inriktning hållbarhet och digitalisering,425,Bunden,100,4,3,128,96.0,32,Skåne,Helsingborg,1,False
MYH 2020/3793,2020,False,Hermods AB Lund,Privat,Data/IT,UI/UX Designer,400,Bunden,100,3,0,90,0.0,30,Skåne,Lund,1,False
MYH 2020/3800,2020,False,Hermods AB Göteborg,Privat,Samhällsbyggnad och byggteknik,Byggprojektör BIM/CAD,400,Bunden,100,4,0,120,0.0,30,Västra Götaland,Göteborg,1,False
MYH 2020/3801,2020,False,Hermods AB Göteborg,Privat,"Ekonomi, administration och försäljning",Lönekonsult fokus digitala processer,300,Bunden,100,4,0,140,0.0,35,Västra Götaland,Göteborg,1,False
MYH 2020/3802,2020,False,Hermods AB Göteborg,Privat,Data/IT,Pythonutvecklare med AI-kompetens,400,Bunden,100,4,0,120,0.0,30,Västra Götaland,Göteborg,1,False
MYH 2020/3803,2020,True,Hermods AB Malmö,Privat,Journalistik och information,Teknikinformatör,220,Distans,100,4,3,120,90.0,30,Skåne,Malmö,1,False
MYH 2020/3806,2020,True,Hermods AB Göteborg,Privat,Hälso- och sjukvård samt socialt arbete,Instrument- och steriltekniker,315,Distans,100,4,3,140,105.0,35,Västra Götaland,Göteborg,1,False
MYH 2020/3808,2020,True,"Sundsvalls kommun, Vuxenutbildningen",Kommun,Säkerhetstjänster,Säkerhetssamordnare,300,Distans,75,5,3,150,90.0,30,Västernorrland,Sundsvall,1,False
MYH 2020/3810,2020,True,YrkesAkademin YH AB,Privat,Teknik och tillverkning,Tekniker tunga maskiner och fordon,300,Distans,100,3,3,60,60.0,20,Västra Götaland,Göteborg,1,False
MYH 2020/3811,2020,True,YrkesAkademin YH AB,Privat,Teknik och tillverkning,Tekniker tunga maskiner och fordon,300,Distans,100,3,3,60,60.0,20,Norrbotten,Gällivare,1,False
MYH 2020/3813,2020,False,YrkesAkademin YH AB,Privat,Samhällsbyggnad och byggteknik,Drift- och fastighetstekniker,300,Distans,100,3,0,90,0.0,30,Norrbotten,Luleå,1,False
MYH 2020/3816,2020,True,Hermods AB Lund,Privat,"Ekonomi, administration och försäljning",Företagssäljare/B2B,400,Bunden,100,4,3,120,90.0,30,Skåne,Lund,1,False
MYH 2020/3818,2020,False,Hermods AB Göteborg,Privat,Samhällsbyggnad och byggteknik,Mätningstekniker,425,Bunden,100,4,0,120,0.0,30,Västra Götaland,Göteborg,1,False
MYH 2020/3820,2020,False,YrkesAkademin YH AB,Privat,Data/IT,Business Intelligence Analyst,400,Distans,100,3,0,105,0.0,35,Västernorrland,Sundsvall,1,False
MYH 2020/3833,2020,True,Skellefteå kommun Vuxenutbildningen,Kommun,Hälso- och sjukvård samt socialt arbete,Demens- och äldrepsykiatrispecialiserad undersköterska,200,Distans,50,5,3,125,75.0,25,Västerbotten,Skellefteå,1,False
MYH 2020/3858,2020,True,YrkesAkademin YH AB,Privat,Teknik och tillverkning,Elnätsspecialist inom Ställverk och Transformatorteknik,225,Distans,100,5,3,175,105.0,35,Skåne,Malmö,1,False
MYH 2020/3859,2020,False,YrkesAkademin YH AB,Privat,Teknik och tillverkning,Ytbehandlingsspecialist,215,Distans,100,3,0,105,0.0,35,Västmanland,Västerås,1,False
MYH 2020/3865,2020,True,YrkesAkademin YH AB,Privat,Teknik och tillverkning,Ytbehandlingsspecialist,215,Distans,100,5,3,150,90.0,30,Västra Götaland,Trollhättan,1,False
MYH 2020/3884,2020,False,Hermods AB Lund,Privat,Samhällsbyggnad och byggteknik,Drift- och fastighetstekniker,400,Distans,100,4,0,120,0.0,30,Skåne,Lund,1,False
MYH 2020/3885,2020,False,Hermods AB Malmö,Privat,"Ekonomi, administration och försäljning",Technical Account Manager,420,Distans,100,4,0,120,0.0,30,Skåne,Malmö,1,False
MYH 2020/3898,2020,True,YrkesAkademin YH AB,Privat,Samhällsbyggnad och byggteknik,Fastighetsingenjör,250,Distans,50,4,3,120,90.0,30,Västra Götaland,Göteborg,1,False
MYH 2020/3900,2020,True,YrkesAkademin YH AB,Privat,Samhällsbyggnad och byggteknik,Träbyggnadsprojektör hållbart byggande,400,Distans,100,5,3,150,90.0,30,Kronoberg,Växjö,1,False
MYH 2020/3903,2020,False,YrkesAkademin YH AB,Privat,Samhällsbyggnad och byggteknik,Fastighetsingenjör,250,Distans,50,3,0,90,0.0,30,Västerbotten,Skellefteå,1,False
MYH 2020/3912,2020,False,YrkesAkademin YH AB,Privat,Samhällsbyggnad och byggteknik,Drift- och fastighetstekniker,300,Distans,100,3,0,30,0.0,10,Gotland,Gotland,2,True
MYH 2020/3912,2020,False,YrkesAkademin YH AB,Privat,Samhällsbyggnad och byggteknik,Drift- och fastighetstekniker,300,Distans,100,3,0,60,0.0,20,Stockholm,Nynäshamn,2,True
MYH 2020/3916,2020,False,Hermods AB Örebro,Privat,Transporttjänster,Internationell affärslogistiker inriktning hållbarhet och digitalisering,425,Distans,100,4,0,120,0.0,30,Örebro,Örebro,1,False
MYH 2020/3922,2020,False,Hermods AB Göteborg,Privat,Teknik och tillverkning,Underhållsingenjör – Smart Maintenance,400,Bunden,100,4,0,120,0.0,30,Västra Götaland,Göteborg,1,False
MYH 2020/3931,2020,True,Hermods AB Lund,Privat,Teknik och tillverkning,Automations- och Robotingenjör med Industri 4.0,425,Bunden,100,4,3,120,90.0,30,Skåne,Lund,1,False
MYH 2020/3939,2020,True,YrkesAkademin YH AB,Privat,Teknik och tillverkning,Elnätsspecialist inom Reläskydd,215,Distans,100,5,3,150,90.0,30,Västernorrland,Sundsvall,1,False
MYH 2020/3940,2020,True,"Sundsvalls kommun, Vuxenutbildningen",Kommun,Säkerhetstjänster,Arbetsmiljöingenjör,400,Distans,100,5,3,150,90.0,30,Västernorrland,Sundsvall,1,False
MYH 2020/3949,2020,False,YrkesAkademin YH AB,Privat,Samhällsbyggnad och byggteknik,Underhållstekniker infrastruktur,300,Distans,100,3,0,105,0.0,35,Västra Götaland,Göteborg,1,False
MYH 2020/3951,2020,True,YrkesAkademin YH AB,Privat,Samhällsbyggnad och byggteknik,Underhållstekniker infrastruktur,300,Distans,100,3,3,105,105.0,35,Dalarna,Borlänge,1,False
MYH 2020/3952,2020,True,YrkesAkademin YH AB,Privat,Samhällsbyggnad och byggteknik,Underhållstekniker infrastruktur,300,Distans,100,3,3,105,105.0,35,Norrbotten,Luleå,1,False
MYH 2020/3990,2020,False,YrkesAkademin YH AB,Privat,Teknik och tillverkning,Elnätsspecialist inom vindkraftteknik,300,Distans,100,5,0,150,0.0,30,Västra Götaland,Trollhättan,1,False
MYH 2020/3991,2020,False,YrkesAkademin YH AB,Privat,Teknik och tillverkning,Elnätsspecialist inom vindkraftteknik,300,Distans,100,5,0,150,0.0,30,Västernorrland,Örnsköldsvik,1,False
MYH 2020/3992,2020,False,YrkesAkademin YH AB,Privat,Teknik och tillverkning,Elnätsspecialist inom vindkraftteknik,300,Distans,100,5,0,75,0.0,15,Skåne,Helsingborg,2,True
MYH 2020/3992,2020,False,YrkesAkademin YH AB,Privat,Teknik och tillverkning,Elnätsspecialist inom vindkraftteknik,300,Distans,100,5,0,75,0.0,15,Skåne,Landskrona,2,True
MYH 2020/3998,2020,True,Hermods AB Helsingborg,Privat,Samhällsbyggnad och byggteknik,VVS-ingenjör,400,Bunden,100,4,3,128,96.0,32,Skåne,Helsingborg,1,False
MYH 2020/4002,2020,True,Hermods AB Örebro,Privat,Samhällsbyggnad och byggteknik,Anläggningsingenjör - Infrastruktur,400,Distans,100,4,3,120,90.0,30,Örebro,Örebro,1,False
MYH 2020/4008,2020,True,Hermods AB Göteborg,Privat,Samhällsbyggnad och byggteknik,VVS-ingenjör,400,Bunden,100,4,3,120,90.0,30,Västra Götaland,Göteborg,1,False
MYH 2020/4010,2020,False,Hermods AB Göteborg,Privat,Samhällsbyggnad och byggteknik,Fastighetsförvaltare,500,Distans,100,4,0,40,0.0,10,Uppsala,Uppsala,3,True
MYH 2020/4010,2020,False,Hermods AB Göteborg,Privat,Samhällsbyggnad och byggteknik,Fastighetsförvaltare,500,Distans,100,4,0,40,0.0,10,Västernorrland,Sundsvall,3,True
MYH 2020/4010,2020,False,Hermods AB Göteborg,Privat,Samhällsbyggnad och byggteknik,Fastighetsförvaltare,500,Distans,100,4,0,60,0.0,15,Västra Götaland,Göteborg,3,True
MYH 2020/4013,2020,False,Hermods AB Göteborg,Privat,Pedagogik och undervisning,Lärarassistent - fokus IKT och extra anpassningar,220,Distans,100,4,0,120,0.0,30,Västra Götaland,Göteborg,1,False
MYH 2020/4014,2020,False,YrkesAkademin YH AB,Privat,Teknik och tillverkning,Robot- och automationsprogrammerare,300,Distans,100,5,0,175,0.0,35,Västra Götaland,Trollhättan,1,False
MYH 2020/4015,2020,False,YrkesAkademin YH AB,Privat,Teknik och tillverkning,Robot- och automationsprogrammerare,300,Distans,100,5,0,175,0.0,35,Skåne,Landskrona,1,False
