Diarienummer,Ansökningsomgång,Beslut,Utbildningsanordnare,Utbildningsnamn,Utbildningsområde,YH-poäng,Beviljade platser,Beviljade platser totalt,Start,Län,Kommun,Antal kommuner,Flera kommuner
MYH 2024/1030,2024,True,Nackademin AB,Cyber Security,Data/IT,30,40,80,2025,Stockholm,Solna,1,False
MYH 2024/1031,2024,True,"Landskrona Stad, Yrkeshögskolan Landskrona",Funktionsnedsättningar i ett helhetsperspektiv,Hälso- och sjukvård samt socialt arbete,50,25,25,2024,Skåne,Landskrona,1,False
MYH 2024/1032,2024,True,Nackademin AB,Energioptimering och förnybara energikällor,Samhällsbyggnad och byggteknik,30,35,35,2024,Stockholm,Solna,1,False
MYH 2024/1033,2024,True,Nackademin AB,Fördjupning i relationsdatabaser för utvecklare,Data/IT,25,30,30,2024,Stockholm,Solna,1,False
MYH 2024/1034,2024,True,Nackademin AB,Inkluderande UX-design,Data/IT,20,40,40,2024,Stockholm,Solna,1,False
MYH 2024/1036,2024,True,Nackademin AB,Kalkyl och inköp - resurseffektiv byggprocess,Samhällsbyggnad och byggteknik,20,45,90,2024,Stockholm,Solna,1,False
MYH 2024/1036,2024,True,Nackademin AB,Kalkyl och inköp - resurseffektiv byggprocess,Samhällsbyggnad och byggteknik,20,45,90,2025,Stockholm,Solna,1,False
MYH 2024/1037,2024,True,Nackademin AB,Klimatdeklarationer,Samhällsbyggnad och byggteknik,20,35,35,2024,Stockholm,Solna,1,False
MYH 2024/1038,2024,True,Nackademin AB,Miljöcertifiering och hållbart byggande ,Samhällsbyggnad och byggteknik,20,30,30,2024,Stockholm,Solna,1,False
MYH 2024/1039,2024,True,Nackademin AB,OT-säkerhet,Säkerhetstjänster,40,30,60,2024,Stockholm,Solna,1,False
MYH 2024/1039,2024,True,Nackademin AB,OT-säkerhet,Säkerhetstjänster,40,30,60,2025,Stockholm,Solna,1,False
MYH 2024/1040,2024,True,Nackademin AB,Prompt Engineering och generativ AI för utvecklare,Data/IT,20,60,60,2024,Stockholm,Solna,1,False
MYH 2024/1041,2024,True,Trelleborgs kommun,Vätgas,Teknik och tillverkning,60,25,50,2024,Skåne,Trelleborg,1,False
MYH 2024/1041,2024,True,Trelleborgs kommun,Vätgas,Teknik och tillverkning,60,25,50,2025,Skåne,Trelleborg,1,False
MYH 2024/1042,2024,True,Nackademin AB,Robotic Process Automation,Data/IT,20,32,64,2024,Stockholm,Solna,1,False
MYH 2024/1042,2024,True,Nackademin AB,Robotic Process Automation,Data/IT,20,32,64,2025,Stockholm,Solna,1,False
MYH 2024/1043,2024,True,Nackademin AB,Skyfalls- och dagvattenhantering,Samhällsbyggnad och byggteknik,25,35,35,2024,Stockholm,Solna,1,False
MYH 2024/1044,2024,True,Nackademin AB,Underhåll och renovering av broar och vägar,Samhällsbyggnad och byggteknik,30,30,30,2024,Stockholm,Solna,1,False
MYH 2024/1047,2024,True,Nackademin AB,UX-writing,Journalistik och information,30,40,40,2024,Stockholm,Solna,1,False
MYH 2024/1048,2024,True,Nackademin AB,Välfärdsteknik inom vård och omsorg,Hälso- och sjukvård samt socialt arbete,50,40,80,2024,Stockholm,Solna,1,False
MYH 2024/1048,2024,True,Nackademin AB,Välfärdsteknik inom vård och omsorg,Hälso- och sjukvård samt socialt arbete,50,40,80,2025,Stockholm,Solna,1,False
MYH 2024/1049,2024,True,Hyper Island Program AB - Karlskrona,Business Development - Digitalization & Sustainability,"Ekonomi, administration och försäljning",65,55,110,2024,Blekinge,Karlskrona,1,False
MYH 2024/1049,2024,True,Hyper Island Program AB - Karlskrona,Business Development - Digitalization & Sustainability,"Ekonomi, administration och försäljning",65,55,110,2025,Blekinge,Karlskrona,1,False
MYH 2024/1050,2024,True,Folkuniversitetet – Kursverksamheten vid Umeå Universitet,CAD för VVS,Samhällsbyggnad och byggteknik,25,20,20,2024,Västerbotten,Umeå,1,False
MYH 2024/1051,2024,True,Folkuniversitetet – Kursverksamheten vid Umeå Universitet,Sprinkler-projektör,Samhällsbyggnad och byggteknik,30,20,40,2024,Västerbotten,Umeå,1,False
MYH 2024/1051,2024,True,Folkuniversitetet – Kursverksamheten vid Umeå Universitet,Sprinkler-projektör,Samhällsbyggnad och byggteknik,30,20,40,2025,Västerbotten,Umeå,1,False
MYH 2024/1053,2024,False,Torsta AB,"Mathantverk – hållbar företagsutveckling inom bär-, frukt- och grönsaksförädling",Teknik och tillverkning,40,0,0,2024,Jämtland,Ås,1,False
MYH 2024/1054,2024,False,Trelleborgs kommun,Chefsstöd inom vård och omsorg,"Ekonomi, administration och försäljning",50,0,0,2024,Skåne,Trelleborg,1,False
MYH 2024/1055,2024,True,Handelsakademin i Göteborg AB,Cloud Development,Data/IT,70,40,80,2024,Västra Götaland,Västra Frölunda,1,False
MYH 2024/1055,2024,True,Handelsakademin i Göteborg AB,Cloud Development,Data/IT,70,40,80,2025,Västra Götaland,Västra Frölunda,1,False
MYH 2024/1057,2024,True,Handelsakademin i Göteborg AB,Hållbar byggprojektering med BIM,Samhällsbyggnad och byggteknik,40,40,80,2024,Norrbotten,Luleå,1,False
MYH 2024/1057,2024,True,Handelsakademin i Göteborg AB,Hållbar byggprojektering med BIM,Samhällsbyggnad och byggteknik,40,40,80,2025,Norrbotten,Luleå,1,False
MYH 2024/1058,2024,True,LAVI gruppen AB,Mätteknik för installtörer – Kategori 2,Teknik och tillverkning,30,20,20,2024,,,2,True
MYH 2024/1059,2024,False,Sollefteå kommun - Reveljen,"Neuropsykiatriska diagnoser, bemötande, arbetssätt och metoder ",Pedagogik och undervisning,45,0,0,2024,Västernorrland,Sollefteå,1,False
MYH 2024/1060,2024,False,"Region Kronoberg, YH Region Kronoberg",Psykiatri bas och bredd,Hälso- och sjukvård samt socialt arbete,20,0,0,2024,Kronoberg,Växjö,1,False
MYH 2024/1061,2024,False,LAVI gruppen AB,Elsäkerhet för installatörer,Teknik och tillverkning,15,0,0,2024,,,2,True
MYH 2024/1062,2024,False,Stockholms Internationella Handelsskola AB,Hållbar projektledning ESG,"Ekonomi, administration och försäljning",35,0,0,2024,Stockholm,Stockholm,1,False
MYH 2024/1063,2024,False,Handelsakademin i Göteborg AB,Hållbarhet inom Byggsektorn,Samhällsbyggnad och byggteknik,50,0,0,2024,Norrbotten,Luleå,1,False
MYH 2024/1065,2024,True,Handelsakademin i Göteborg AB,Pythonprogrammering inriktning AI,Data/IT,65,40,80,2024,Skåne,Malmö,1,False
MYH 2024/1065,2024,True,Handelsakademin i Göteborg AB,Pythonprogrammering inriktning AI,Data/IT,65,40,80,2025,Skåne,Malmö,1,False
MYH 2024/1069,2024,True,Handelsakademin i Göteborg AB,Testautomatisering Python,Data/IT,60,40,80,2024,Västra Götaland,Västra Frölunda,1,False
MYH 2024/1069,2024,True,Handelsakademin i Göteborg AB,Testautomatisering Python,Data/IT,60,40,80,2025,Västra Götaland,Västra Frölunda,1,False
MYH 2024/1070,2024,True,Stockholms Internationella Handelsskola AB,Vulnerability Management,Data/IT,35,35,35,2024,Stockholm,Stockholm,1,False
MYH 2024/1071,2024,False,LAVI gruppen AB,Strategier för hållbar skogsförvaltning,"Lantbruk, djurvård, trädgård, skog och fiske",20,0,0,2024,Örebro,Örebro,1,False
MYH 2024/1072,2024,False,LAVI gruppen AB,AI och maskininlärning: grundläggande metoder och tillämpningar,Data/IT,40,0,0,2024,Örebro,Örebro,1,False
MYH 2024/1073,2024,True,Stockholms Internationella Handelsskola AB,Ansvarsfull handel och hållbara leverantörskedjor (CSDDD),"Ekonomi, administration och försäljning",40,32,32,2024,Stockholm,Stockholm,1,False
MYH 2024/1074,2024,False,Företagsuniversitetet AB,Dataskydd inom IT och AI,Juridik,24,0,0,2024,Stockholm,Stockholm,1,False
MYH 2024/1075,2024,False,Båstads kommun Akademi Båstad,Fördjupning i palliativ omvårdnad,Hälso- och sjukvård samt socialt arbete,30,0,0,2024,Skåne,Båstad,1,False
MYH 2024/1076,2024,False,Båstads kommun Akademi Båstad,Växter i samhällets tjänst,"Lantbruk, djurvård, trädgård, skog och fiske",50,0,0,2024,Skåne,Båstad,1,False
MYH 2024/1077,2024,True,YH Akademin AB,Byggnadsfysik inom träbyggnation,Samhällsbyggnad och byggteknik,20,35,70,2024,Jönköping,Nässjö,1,False
MYH 2024/1077,2024,True,YH Akademin AB,Byggnadsfysik inom träbyggnation,Samhällsbyggnad och byggteknik,20,35,70,2025,Jönköping,Nässjö,1,False
MYH 2024/1078,2024,True,Rädda Barnen Välfärd,Traumamedveten omsorg,Hälso- och sjukvård samt socialt arbete,30,25,25,2024,Skåne,Malmö,1,False
MYH 2024/1079,2024,False,MedLearn AB,Förändringsledning och digitalisering för chefer och ledare inom vård och omsorg,"Ekonomi, administration och försäljning",25,0,0,2024,Norrbotten,Piteå,1,False
MYH 2024/1080,2024,True,YH Akademin AB,Cybersäkerhet i elkraftsystem,Data/IT,40,25,50,2024,Västmanland,Västerås,1,False
MYH 2024/1080,2024,True,YH Akademin AB,Cybersäkerhet i elkraftsystem,Data/IT,40,25,50,2025,Västmanland,Västerås,1,False
MYH 2024/1081,2024,True,NBI i Sverige AB ,Sustainable Supply Chain Transformation,"Ekonomi, administration och försäljning",50,40,80,2024,Skåne,Malmö,1,False
MYH 2024/1081,2024,True,NBI i Sverige AB ,Sustainable Supply Chain Transformation,"Ekonomi, administration och försäljning",50,40,80,2025,Skåne,Malmö,1,False
MYH 2024/1082,2024,True,"Älmhults kommun, Haganässkolan",Livscykelanalys för förpackningsindustrin - Life Cycle Assessment for the packaging industry.,"Kultur, media och design",40,20,20,2024,Kronoberg,Älmhult,1,False
MYH 2024/1083,2024,False,Nercia Utbildning,Drift- och energieffektivisering,Samhällsbyggnad och byggteknik,95,0,0,2024,Örebro,Örebro,1,False
MYH 2024/1084,2024,True,YH Akademin AB,Anbud och upphandling med hållbar kravställning,"Ekonomi, administration och försäljning",70,35,35,2024,,,2,True
MYH 2024/1085,2024,True,Amsac AB,Digitalisering och automation i hållbar produktion,Teknik och tillverkning,60,60,60,2024,,,5,True
MYH 2024/1086,2024,True,Företagsuniversitetet AB,Cybersäkerhet,Data/IT,15,70,140,2024,Stockholm,Stockholm,1,False
MYH 2024/1086,2024,True,Företagsuniversitetet AB,Cybersäkerhet,Data/IT,15,70,140,2025,Stockholm,Stockholm,1,False
MYH 2024/1087,2024,True,Amsac AB,Indtech och tillämpad AI för hållbar produktion,Teknik och tillverkning,50,48,48,2024,,,5,True
MYH 2024/1088,2024,False,Amsac AB,Samhällsutveckling och bilfri mobilitet med människan i centrum,Samhällsbyggnad och byggteknik,35,0,0,2024,,,2,True
MYH 2024/1089,2024,False,Amsac AB,Kollektivtrafik för hållbart resande och social inkludering,Samhällsbyggnad och byggteknik,30,0,0,2024,,,2,True
MYH 2024/1090,2024,False,Amsac AB,Innovationsarbete och hållbar kollektivtrafik i samverkan,Samhällsbyggnad och byggteknik,40,0,0,2024,,,2,True
MYH 2024/1091,2024,False,Amsac AB,Tjänstedesign för kundbehov i grön omställning,"Ekonomi, administration och försäljning",30,0,0,2024,,,3,True
MYH 2024/1092,2024,False,Amsac AB,Minskat fossilberoende med hållbart pendlande och cykeln som transportmedel,Samhällsbyggnad och byggteknik,25,0,0,2024,,,2,True
MYH 2024/1093,2024,False,YH Akademin AB,Beskärningshandledare och trädvård,"Lantbruk, djurvård, trädgård, skog och fiske",30,0,0,2024,,,2,True
MYH 2024/1094,2024,True,"Göteborgs Stad, Yrgo",Transporträtt och digitala dokument för speditörer och logistiker,Transporttjänster,30,20,20,2024,,,2,True
MYH 2024/1095,2024,True,Åsbro Kursgård AB,Reservkraft för säkrad elförsörjning,Teknik och tillverkning,60,20,20,2024,Örebro,Askersund,1,False
MYH 2024/1096,2024,True,Nercia Utbildning,Modern Fastighetsautomation med IoT ,Samhällsbyggnad och byggteknik,70,30,60,2024,Örebro,Örebro,1,False
MYH 2024/1096,2024,True,Nercia Utbildning,Modern Fastighetsautomation med IoT ,Samhällsbyggnad och byggteknik,70,30,60,2025,Örebro,Örebro,1,False
MYH 2024/1097,2024,True,Åsbro Kursgård AB,Riskhantering av induktion vid högspänningsanläggningar,Teknik och tillverkning,60,20,20,2024,Örebro,Askersund,1,False
MYH 2024/1098,2024,False,Åsbro Kursgård AB,Linjebyggnad transmissionsnät,Teknik och tillverkning,60,0,0,2024,Örebro,Hallsberg,1,False
MYH 2024/1099,2024,True,YH Akademin AB,Fuktteknik och skadeutredning.,Samhällsbyggnad och byggteknik,80,30,30,2024,,,3,True
MYH 2024/1100,2024,True,NBI i Sverige AB ,Sustainable Procurement,"Ekonomi, administration och försäljning",50,40,80,2024,Skåne,Malmö,1,False
MYH 2024/1100,2024,True,NBI i Sverige AB ,Sustainable Procurement,"Ekonomi, administration och försäljning",50,40,80,2025,Skåne,Malmö,1,False
MYH 2024/1101,2024,True,"Göteborgs Stad, Yrgo",Teamledarskap produktionsstyrning,"Ekonomi, administration och försäljning",30,25,25,2024,,,2,True
MYH 2024/1102,2024,True,Amsac AB,Elanläggningsansvar med underhållsrutiner och ökad personsäkerhet,Teknik och tillverkning,30,30,30,2024,,,2,True
MYH 2024/1103,2024,True,Amsac AB,Service och underhåll på vindkraftturbiner med Lifetime Extension,Teknik och tillverkning,80,25,50,2024,,,3,True
MYH 2024/1103,2024,True,Amsac AB,Service och underhåll på vindkraftturbiner med Lifetime Extension,Teknik och tillverkning,80,25,50,2025,,,3,True
MYH 2024/1104,2024,True,"Göteborgs Stad, Yrgo",Exportkontroll och tullhantering,"Ekonomi, administration och försäljning",30,25,25,2024,Västra Götaland,Göteborg,1,False
MYH 2024/1105,2024,True,Amsac AB,"Ellagring, stödtjänster och produktionsreglering av vattenkraft, vindkraft och solceller",Teknik och tillverkning,40,30,30,2024,,,3,True
MYH 2024/1106,2024,True,YH Akademin AB,Food & Beverage Management Executive ,"Hotell, restaurang och turism",50,20,20,2024,,,5,True
MYH 2024/1107,2024,False,Amsac AB,Creative expression for transformative digital marketing,"Ekonomi, administration och försäljning",60,0,0,2024,Stockholm,Kista,1,False
MYH 2024/1108,2024,False,Amsac AB,"Kollaborativa event för kultur, kreativa och gröna näringar","Hotell, restaurang och turism",30,0,0,2024,Stockholm,Kista,1,False
MYH 2024/1109,2024,False,Amsac AB,Music Sync och licensiering med AI som verktyg,"Kultur, media och design",60,0,0,2024,Stockholm,Botkyrka,1,False
MYH 2024/1110,2024,False,Nercia Utbildning,AUTOCAD,Teknik och tillverkning,20,0,0,2024,Västra Götaland,Trollhättan,1,False
MYH 2024/1111,2024,False,Tension Education AB,Realisering och nyskapande i gamification och spelutveckling,Data/IT,70,0,0,2024,Dalarna,Falun,1,False
MYH 2024/1112,2024,False,Tension Education AB,Hållbart företagande för spel- & applikationsutveckling,"Ekonomi, administration och försäljning",80,0,0,2024,Dalarna,Falun,1,False
MYH 2024/1113,2024,False,Tension Education AB,Network slicing för spelutveckling och gamification,Data/IT,70,0,0,2024,Dalarna,Falun,1,False
MYH 2024/1114,2024,True,Nercia Utbildning,Geodetisk Mätningsteknik,Samhällsbyggnad och byggteknik,40,35,70,2024,Västra Götaland,Trollhättan,1,False
MYH 2024/1114,2024,True,Nercia Utbildning,Geodetisk Mätningsteknik,Samhällsbyggnad och byggteknik,40,35,70,2025,Västra Götaland,Trollhättan,1,False
MYH 2024/1115,2024,False,Ja&Ja AB,"Modern beroendevård:Teori,praxis och samhällsperspektiv",Hälso- och sjukvård samt socialt arbete,60,0,0,2024,,,2,True
MYH 2024/1116,2024,False,Plushögskolan AB - Vårdyrkeshögskolan,Våld i nära relation,Hälso- och sjukvård samt socialt arbete,80,0,0,2024,,,5,True
MYH 2024/1117,2024,False,JENSEN Education School AB,COBOL-utveckling,Data/IT,40,0,0,2024,Stockholm,Stockholm,1,False
MYH 2024/1118,2024,False,Ja&Ja AB,Säkrare vård och behandling inom institutionell miljö,"Ekonomi, administration och försäljning",60,0,0,2024,,,5,True
MYH 2024/1119,2024,False,Ja&Ja AB,Neuropsykiatriska funktionsnedsättningar: Kommunikation och samverkan,Hälso- och sjukvård samt socialt arbete,60,0,0,2024,,,3,True
MYH 2024/1120,2024,False,JENSEN Education School AB,DevSecOps,Data/IT,30,0,0,2024,Stockholm,Stockholm,1,False
MYH 2024/1121,2024,False,Ja&Ja AB,Social juridik för yrkesverksamma inom vård och behandlingsarbete,Juridik,60,0,0,2024,,,3,True
MYH 2024/1122,2024,False,JENSEN Education School AB,Hållbart produktägarskap,Data/IT,30,0,0,2024,Stockholm,Stockholm,1,False
MYH 2024/1123,2024,False,JENSEN Education School AB,Integrationsutveckling,Data/IT,30,0,0,2024,Stockholm,Stockholm,1,False
MYH 2024/1124,2024,False,JENSEN Education School AB,Molnsäkerhet,Data/IT,30,0,0,2024,Stockholm,Stockholm,1,False
MYH 2024/1125,2024,True,JENSEN Education School AB,Projektekonomi för hållbara IT-projekt,"Ekonomi, administration och försäljning",20,35,70,2024,Stockholm,Stockholm,1,False
MYH 2024/1125,2024,True,JENSEN Education School AB,Projektekonomi för hållbara IT-projekt,"Ekonomi, administration och försäljning",20,35,70,2025,Stockholm,Stockholm,1,False
MYH 2024/1126,2024,False,JENSEN Education School AB,Digital teknik i fastighetsförvaltningen,Samhällsbyggnad och byggteknik,30,0,0,2024,Stockholm,Stockholm,1,False
MYH 2024/1127,2024,True,JENSEN Education School AB,Klimateffektiv fastighetsförvaltning och social hållbarhet,Samhällsbyggnad och byggteknik,30,35,70,2024,Stockholm,Stockholm,1,False
MYH 2024/1127,2024,True,JENSEN Education School AB,Klimateffektiv fastighetsförvaltning och social hållbarhet,Samhällsbyggnad och byggteknik,30,35,70,2025,Stockholm,Stockholm,1,False
MYH 2024/1128,2024,True,JENSEN Education School AB,Projektekonomi för hållbara projekt i fastighetsförvaltningen,"Ekonomi, administration och försäljning",20,35,70,2024,Stockholm,Stockholm,1,False
MYH 2024/1128,2024,True,JENSEN Education School AB,Projektekonomi för hållbara projekt i fastighetsförvaltningen,"Ekonomi, administration och försäljning",20,35,70,2025,Stockholm,Stockholm,1,False
MYH 2024/1129,2024,False,Karlsson Climate AB,"Yrkesanpassad Driftingenjör inom Energi, VVS och Kyla.",Samhällsbyggnad och byggteknik,99,0,0,2024,Skåne,Eslöv,1,False
MYH 2024/1130,2024,False,Karlsson Climate AB,Optimeringsexpert byggnader och dess tekniska system inom VVS och komfortkyla,Samhällsbyggnad och byggteknik,99,0,0,2024,Skåne,Eslöv,1,False
MYH 2024/1131,2024,True,IT-Högskolan Sverige AB,Agil testautomatiserare,Data/IT,60,40,40,2024,Västra Götaland,Göteborg,1,False
MYH 2024/1132,2024,True,IT-Högskolan Sverige AB,Agile Product Owner,"Ekonomi, administration och försäljning",30,40,40,2024,Västra Götaland,Göteborg,1,False
MYH 2024/1133,2024,True,YH Akademin AB,C++ for Developers,Data/IT,40,30,60,2024,Västra Götaland,Trollhättan,1,False
MYH 2024/1133,2024,True,YH Akademin AB,C++ for Developers,Data/IT,40,30,60,2025,Västra Götaland,Trollhättan,1,False
MYH 2024/1134,2024,True,YH Akademin AB,Industriellt träbyggande ,Samhällsbyggnad och byggteknik,40,35,35,2024,,,2,True
MYH 2024/1135,2024,False,Borås Stad - Yrkeshögskolan i Borås,3D Clo Fördjupning Modedesigner,Teknik och tillverkning,15,0,0,2024,Västra Götaland,Borås,1,False
MYH 2024/1136,2024,True,Borås Stad - Yrkeshögskolan i Borås,3D Clo Fördjupning Mönsterkonstruktör,Teknik och tillverkning,15,25,25,2024,Västra Götaland,Borås,1,False
MYH 2024/1137,2024,True,Borås Stad - Yrkeshögskolan i Borås,3D Clo modedesign och mönsterkonstruktion,Teknik och tillverkning,15,25,25,2024,Västra Götaland,Borås,1,False
MYH 2024/1138,2024,True,One Academy AB,Hållbara Inköp,"Ekonomi, administration och försäljning",40,40,80,2024,,,2,True
MYH 2024/1138,2024,True,One Academy AB,Hållbara Inköp,"Ekonomi, administration och försäljning",40,40,80,2025,,,2,True
MYH 2024/1139,2024,True,One Academy AB,Inköpsanalys och digitalisering ,"Ekonomi, administration och försäljning",55,40,80,2024,,,2,True
MYH 2024/1139,2024,True,One Academy AB,Inköpsanalys och digitalisering ,"Ekonomi, administration och försäljning",55,40,80,2025,,,2,True
MYH 2024/1140,2024,True,One Academy AB,Anbudsutvärdering i offentlig upphandling med hänsyn till cirkulär ekonomi,"Ekonomi, administration och försäljning",15,30,30,2024,,,2,True
MYH 2024/1142,2024,True,KYH AB,Schaktfritt ledningsbyggande,Samhällsbyggnad och byggteknik,20,32,64,2024,,,2,True
MYH 2024/1142,2024,True,KYH AB,Schaktfritt ledningsbyggande,Samhällsbyggnad och byggteknik,20,32,64,2025,,,2,True
MYH 2024/1143,2024,True,KYH AB,3D-CAD Markarbete och anläggning,Samhällsbyggnad och byggteknik,25,30,30,2024,,,2,True
MYH 2024/1144,2024,True,KYH AB,Automation för fastigheter,Samhällsbyggnad och byggteknik,30,35,70,2024,Stockholm,Liljeholmen,1,False
MYH 2024/1144,2024,True,KYH AB,Automation för fastigheter,Samhällsbyggnad och byggteknik,30,35,70,2025,Stockholm,Liljeholmen,1,False
MYH 2024/1145,2024,True,KYH AB,Cybersäkerhet inom kritisk infrastruktur,Data/IT,30,35,70,2024,Stockholm,Liljeholmen,1,False
MYH 2024/1145,2024,True,KYH AB,Cybersäkerhet inom kritisk infrastruktur,Data/IT,30,35,70,2025,Stockholm,Liljeholmen,1,False
