Diarienummer,Beslut,Kommun
MYH 2024/1118,False,Enköping
MYH 2024/1119,False,Helsingborg
MYH 2024/1119,False,Uppsala
MYH 2024/1119,False,Falköping
MYH 2024/1120,False,Stockholm
MYH 2024/1121,False,Götene
MYH 2024/1121,False,Sala
MYH 2024/1121,False,Heby
MYH 2024/1122,False,Stockholm
MYH 2024/1123,False,Stockholm
MYH 2024/1124,False,Stockholm
MYH 2024/1125,True,Stockholm
MYH 2024/1126,False,Stockholm
MYH 2024/1127,True,Stockholm
MYH 2024/1128,True,Stockholm
MYH 2024/1129,False,Eslöv
MYH 2024/1130,False,Eslöv
MYH 2024/1131,True,Göteborg
MYH 2024/1132,True,Göteborg
MYH 2024/1133,True,Trollhättan
MYH 2024/1134,True,Umeå
MYH 2024/1134,True,Uppsala
MYH 2024/1135,False,Borås
MYH 2024/1136,True,Borås
MYH 2024/1137,True,Borås
MYH 2024/1138,True,Göteborg
MYH 2024/1138,True,Stockholm
MYH 2024/1139,True,Stockholm
MYH 2024/1139,True,Göteborg
MYH 2024/1140,True,Stockholm
MYH 2024/1140,True,Göteborg
MYH 2024/1142,True,Malmö
MYH 2024/1142,True,Göteborg
MYH 2024/1143,True,Stockholm
MYH 2024/1143,True,Malmö
MYH 2024/1144,True,Liljeholmen
MYH 2024/1145,True,Liljeholmen
MYH 2024/1146,True,Malmö
MYH 2024/1147,False,Stockholm
MYH 2024/1148,False,Liljeholmen
MYH 2024/1149,False,Liljeholmen
MYH 2024/1150,False,Liljeholmen
MYH 2024/1151,False,Liljeholmen
MYH 2024/1152,True,Göteborg
MYH 2024/1152,True,Stockholm
MYH 2024/1153,True,Liljeholmen
MYH 2024/1154,True,Malmö
MYH 2024/1154,True,Stockholm
MYH 2024/1155,False,Liljeholmen
MYH 2024/1156,True,Göteborg
MYH 2024/1158,False,Göteborg
MYH 2024/1159,False,Liljeholmen
MYH 2024/1160,False,Liljeholmen
MYH 2024/1161,False,Vilhelmina
MYH 2024/1162,True,Stockholm
MYH 2024/1163,False,Stockholm
MYH 2024/1164,True,Stockholm
MYH 2024/1165,True,Jönköping
MYH 2024/1165,True,Linköping
MYH 2024/1165,True,Stockholm
MYH 2024/1166,True,Stockholm
MYH 2024/1166,True,Tranås
MYH 2024/1166,True,Linköping
MYH 2024/1166,True,Helsingborg
MYH 2024/1167,True,Stockholm
MYH 2024/1168,True,Stockholm
MYH 2024/1169,False,Uddevalla
MYH 2024/1169,False,Linköping
MYH 2024/1169,False,Malmö
MYH 2024/1170,True,Stockholm
MYH 2024/1170,True,Göteborg
MYH 2024/1171,False,Stockholm
MYH 2024/1171,False,Göteborg
MYH 2024/1172,False,Umeå
MYH 2024/1173,False,Norrköping
MYH 2024/1174,False,Norrköping
MYH 2024/1175,False,Norrköping
MYH 2024/1176,True,Enköping
MYH 2024/1176,True,Västerås
MYH 2024/1177,True,Mariestad
MYH 2024/1178,True,Jönköping
MYH 2024/1178,True,Tranås
MYH 2024/1178,True,Stockholm
MYH 2024/1179,True,Mariestad
MYH 2024/1180,True,Mariestad
MYH 2024/1181,False,Mariestad
MYH 2024/1181,False,Stockholm
MYH 2024/1182,False,Mariestad
MYH 2024/1183,False,Jönköping
MYH 2024/1183,False,Helsingborg
MYH 2024/1183,False,Linköping
MYH 2024/1183,False,Stockholm
MYH 2024/1184,True,Linköping
MYH 2024/1184,True,Jönköping
MYH 2024/1185,False,Linköping
MYH 2024/1185,False,Stockholm
MYH 2024/1185,False,Helsingborg
MYH 2024/1185,False,Jönköping
MYH 2024/1186,False,Stockholm
MYH 2024/1186,False,Linköping
MYH 2024/1186,False,Jönköping
MYH 2024/1187,True,Stockholm
MYH 2024/1188,False,Stockholm
MYH 2024/1188,False,Helsingborg
MYH 2024/1188,False,Jönköping
MYH 2024/1188,False,Linköping
MYH 2024/1189,False,Fagersta
MYH 2024/1189,False,Köping
MYH 2024/1190,False,Huskvarna
MYH 2024/1191,False,Fagersta
MYH 2024/1191,False,Köping
MYH 2024/1192,False,Köping
MYH 2024/1192,False,Fagersta
MYH 2024/1193,False,Fagersta
MYH 2024/1193,False,Köping
MYH 2024/1194,False,Stockholm
MYH 2024/1195,True,Stockholm
MYH 2024/1196,True,Umeå
MYH 2024/1197,False,Stockholm
MYH 2024/1198,True,Falun
MYH 2024/1198,True,Göteborg
MYH 2024/1199,False,Globen
MYH 2024/1200,False,Stockholm
MYH 2024/1201,False,Luleå
MYH 2024/1201,False,Gällivare
MYH 2024/1201,False,Norrköping
MYH 2024/1202,True,Jönköping
MYH 2024/1202,True,Stockholm
MYH 2024/1203,True,Kristianstad
MYH 2024/1204,True,Umeå
MYH 2024/1205,True,Helsingborg
MYH 2024/1205,True,Linköping
MYH 2024/1205,True,Skellefteå
MYH 2024/1205,True,Jönköping
MYH 2024/1205,True,Stockholm
MYH 2024/1206,False,Örnsköldsvik
MYH 2024/1207,True,Stockholm
MYH 2024/1207,True,Umeå
MYH 2024/1207,True,Göteborg
MYH 2024/1208,True,Trollhättan
MYH 2024/1209,False,Vänersborg
MYH 2024/1210,True,Uppsala
MYH 2024/1211,False,Göteborg
MYH 2024/1213,False,Skellefteå
MYH 2024/1213,False,Stockholm
MYH 2024/1213,False,Helsingborg
MYH 2024/1213,False,Jönköping
MYH 2024/1213,False,Linköping
MYH 2024/1214,False,Uppsala
MYH 2024/1215,True,Stockholm
MYH 2024/1216,False,Knivsta
MYH 2024/1217,True,Örebro
MYH 2024/1217,True,Helsingborg
MYH 2024/1218,True,Umeå
MYH 2024/1219,True,Stockholm
MYH 2024/1220,True,Båstad
MYH 2024/1221,False,Trollhättan
MYH 2024/1222,True,Umeå
